npi,code,code_description,gold_card_status,start_date,end_date,pas,approval_rate
1033115274,11055,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,no,10/1/2022,12/31/9999,5,60%
1033115274,17250,CHEMICAL CAUTERIZATION OF GRANULATION TISSUE,no,10/1/2022,12/31/9999,6,50%
1033115274,29581,APPL MLTLAYR COMPRES LEG BELOW KNEE W/ANKLE FOOT,no,10/1/2022,12/31/9999,6,50%
1033205224,73721,MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,no,10/1/2022,12/31/9999,5,40%
1033403100,67113,RPR COMPLEX RETINA DETACH VITRECT &MEMBRANE PEEL,yes,10/1/2022,12/31/9999,5,100%
1033403100,J9035,INJECTION BEVACIZUMAB 10 MG,yes,10/1/2022,12/31/9999,28,93%
1033424189,95806,SLEEP STD AIRFLOW HRT RATE&O2 SAT EFFORT UNATT,yes,10/1/2022,12/31/9999,6,100%
1033506332,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),yes,10/1/2022,12/31/9999,5,100%
1043202849,G0151,SERVICE PHYS THERAP HOME HLTH/HOSPICE EA 15 MIN,no,10/1/2022,12/31/9999,13,31%
1043202849,G0152,SERVICE OCCUP THERAP HOME HLTH/HOSPICE EA 15 MIN,no,10/1/2022,12/31/9999,12,33%
1043202849,G0155,SRVC CLINICAL SOCIAL WORKER HH/HOSPICE EA 15 MIN,no,10/1/2022,12/31/9999,5,20%
1043202849,G0299,DIRECT SNS RN HOME HEALTH/HOSPICE SET EA 15 MIN,no,10/1/2022,12/31/9999,13,15%
1043202849,G0300,DIRECT SNS LPN HOME HLTH/HOSPICE SET EA 15 MIN,no,10/1/2022,12/31/9999,16,19%
1043238553,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),yes,10/1/2022,12/31/9999,6,100%
1043287022,71250,CT THORAX W/O CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,5,100%
1043295728,Q5107,INJECTION BEVACIZUMAB-AWWB BIOSIMILAR 10 MG,yes,10/1/2022,12/31/9999,5,100%
1043298482,36466,NJX NONCMPND SCLEROSANT MULTIPLE INCMPTNT VEINS,no,10/1/2022,12/31/9999,6,83%
1043298482,36475,ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,no,10/1/2022,12/31/9999,6,83%
1043321698,36475,ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,yes,10/1/2022,12/31/9999,7,100%
1043422587,62323,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,yes,10/1/2022,12/31/9999,5,100%
1043503907,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,yes,10/1/2022,12/31/9999,21,90%
1043566839,J9035,INJECTION BEVACIZUMAB 10 MG,no,10/1/2022,12/31/9999,19,89%
1043731961,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,12,75%
1053311050,78492,MYOCRD IMG PET PRFUJ MULTIPLE STUDY REST&STRESS,yes,10/1/2022,12/31/9999,8,100%
1053311050,93228,XTRNL MOBILE CV TELEMETRY W/I&REPORT 30 DAYS,yes,10/1/2022,12/31/9999,7,100%
1053311050,93229,XTRNL MOBILE CV TELEMETRY W/TECHNICAL SUPPORT,yes,10/1/2022,12/31/9999,7,100%
1053383307,70551,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,7,71%
1053610501,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,5,60%
1053794792,MENTAL HEALTH,INPATIENT PSYCHIATRIC FACILITY // DAY(S),yes,10/1/2022,12/31/9999,6,100%
1063044352,74177,CT ABDOMEN & PELVIS W/CONTRAST MATERIAL,no,10/1/2022,12/31/9999,5,60%
1063413482,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),no,10/1/2022,12/31/9999,10,80%
1063455111,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),no,10/1/2022,12/31/9999,8,88%
1063458321,73223,MRI ANY JT UPPER EXTREMITY W/O & W/CONTR MATRL,yes,10/1/2022,12/31/9999,6,100%
1063523223,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,no,10/1/2022,12/31/9999,9,89%
1063624302,74178,CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,no,10/1/2022,12/31/9999,13,62%
1063624302,95806,SLEEP STD AIRFLOW HRT RATE&O2 SAT EFFORT UNATT,no,10/1/2022,12/31/9999,94,72%
1063624302,95810,POLYSOM 6/>YRS SLEEP 4/> ADDL PARAM ATTND,no,10/1/2022,12/31/9999,142,46%
1063624302,95811,POLYSOM 6/>YRS SLEEP W/CPAP 4/> ADDL PARAM ATTND,no,10/1/2022,12/31/9999,29,86%
1063651156,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,yes,10/1/2022,12/31/9999,8,100%
1063740728,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),yes,10/1/2022,12/31/9999,5,100%
1063778660,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,5,40%
1073587929,27337,EXCISON TUMOR SOFT TISSUE THIGH/KNEE SUBQ 3 CM/>,no,10/1/2022,12/31/9999,5,80%
1073589586,74177,CT ABDOMEN & PELVIS W/CONTRAST MATERIAL,no,10/1/2022,12/31/9999,7,57%
1073601928,71250,CT THORAX W/O CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,5,100%
1073627683,64484,NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC EA LV,yes,10/1/2022,12/31/9999,5,100%
1073627683,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,7,86%
1073810990,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,7,57%
1073834917,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,6,83%
1073991055,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),yes,10/1/2022,12/31/9999,6,100%
1083614135,36475,ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,yes,10/1/2022,12/31/9999,6,100%
1083614135,37765,STAB PHLEBT VARICOSE VEINS 1 XTR 10-20 STAB INCS,yes,10/1/2022,12/31/9999,7,100%
1083621023,74176,CT ABDOMEN & PELVIS W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,6,83%
1083663033,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,9,78%
1083691919,95806,SLEEP STD AIRFLOW HRT RATE&O2 SAT EFFORT UNATT,yes,10/1/2022,12/31/9999,5,100%
1083858617,78227,HEPATOBIL SYST IMAG INC GB W/PHARMA INTERVENJ,yes,10/1/2022,12/31/9999,5,100%
1083900955,G0410,GRP PSYCHOTX NOT MX FAM GRP PART HOS 45-50 MIN,yes,10/1/2022,12/31/9999,7,100%
1083900955,S9480,INTENSIVE OP PSYCHIATRIC SERVICES PER DIEM,yes,10/1/2022,12/31/9999,6,100%
1083901037,MENTAL HEALTH,INPATIENT PSYCHIATRIC FACILITY // DAY(S),no,10/1/2022,12/31/9999,8,88%
1093102477,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,6,67%
1093135816,73721,MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,yes,10/1/2022,12/31/9999,5,100%
1093740979,MENTAL HEALTH,INPATIENT PSYCHIATRIC FACILITY // DAY(S),yes,10/1/2022,12/31/9999,11,100%
1093820920,27096,INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,yes,10/1/2022,12/31/9999,5,100%
1093820920,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,5,60%
1093828667,70486,CT MAXILLOFACIAL W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,11,82%
1093969180,93000,ECG ROUTINE ECG W/LEAST 12 LDS W/I&R,no,10/1/2022,12/31/9999,13,62%
1093969180,93303,COMPLETE TTHRC ECHO CONGENITAL CARDIAC ANOMALY,no,10/1/2022,12/31/9999,13,62%
1093969180,93320,DOPPLER ECHOCARD PULSE WAVE W/SPECTRAL DISPLAY,no,10/1/2022,12/31/9999,12,58%
1093969180,93325,DOP ECHOCARD COLOR FLOW VELOCITY MAPPING,no,10/1/2022,12/31/9999,12,58%
1093969180,99244,OFFICE CONSULTATION NEW/ESTAB PATIENT 60 MIN,no,10/1/2022,12/31/9999,13,62%
1104000629,90999,UNLISTED DIALYSIS PROCEDURE INPATIENT/OUTPATIENT,no,10/1/2022,12/31/9999,7,43%
1104039916,74178,CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,no,10/1/2022,12/31/9999,10,80%
1104261619,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,10,40%
1104325620,73721,MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,yes,10/1/2022,12/31/9999,5,100%
1104842095,90935,HEMODIALYSIS PROCEDURE W/ PHYS/QHP EVALUATION,no,10/1/2022,12/31/9999,6,33%
1104842095,90937,HEMODIALYSIS PX REPEAT EVAL W/WO REVJ DIALYS RX,no,10/1/2022,12/31/9999,6,33%
1104842095,90999,UNLISTED DIALYSIS PROCEDURE INPATIENT/OUTPATIENT,no,10/1/2022,12/31/9999,6,33%
1104986553,74178,CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,yes,10/1/2022,12/31/9999,5,100%
1104986553,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,9,89%
1114114279,0005U,ONCO PRST8 GENE XPRS PRFL 3 GENE UR ALG RSK SCOR,no,10/1/2022,12/31/9999,7,57%
1114114279,52332,CYSTO W/INSERT URETERAL STENT,yes,10/1/2022,12/31/9999,5,100%
1114275484,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,10,30%
1114296936,78492,MYOCRD IMG PET PRFUJ MULTIPLE STUDY REST&STRESS,yes,10/1/2022,12/31/9999,5,100%
1114573144,73721,MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,no,10/1/2022,12/31/9999,6,83%
1114918265,62323,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,yes,10/1/2022,12/31/9999,7,100%
1114918265,64493,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 1 LEVEL,yes,10/1/2022,12/31/9999,6,100%
1114918265,64494,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,yes,10/1/2022,12/31/9999,5,100%
1114997186,36478,ENDOVEN ABLTJ INCMPTNT VEIN XTR LASER 1ST VEIN,no,10/1/2022,12/31/9999,6,67%
1124005152,62323,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,yes,10/1/2022,12/31/9999,5,100%
1124005152,64483,NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC 1 LVL,yes,10/1/2022,12/31/9999,12,100%
1124005152,64490,NJX DX/THER AGT PVRT FACET JT CRV/THRC 1 LEVEL,yes,10/1/2022,12/31/9999,6,100%
1124005152,64491,NJX DX/THER AGT PVRT FACET JT CRV/THRC 2ND LEVEL,yes,10/1/2022,12/31/9999,6,100%
1124005152,64493,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 1 LEVEL,yes,10/1/2022,12/31/9999,9,100%
1124005152,64494,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,yes,10/1/2022,12/31/9999,8,100%
1124005152,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,no,10/1/2022,12/31/9999,9,89%
1124010616,95810,POLYSOM 6/>YRS SLEEP 4/> ADDL PARAM ATTND,yes,10/1/2022,12/31/9999,6,100%
1124010616,95811,POLYSOM 6/>YRS SLEEP W/CPAP 4/> ADDL PARAM ATTND,no,10/1/2022,12/31/9999,7,86%
1124034491,A7035,HEADGEAR USED W/POSITIVE AIRWAY PRESSURE DEVICE,no,10/1/2022,12/31/9999,5,60%
1124034491,E0601,CONTINUOUS POSITIVE AIRWAY PRESSURE DEVICE,no,10/1/2022,12/31/9999,6,67%
1124221718,64615,CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,no,10/1/2022,12/31/9999,5,80%
1124221718,70544,MRA HEAD W/O CONTRST MATERIAL,yes,10/1/2022,12/31/9999,7,100%
1124221718,70549,MRA NECK W/O &W/CONTRAST MATERIAL,no,10/1/2022,12/31/9999,6,83%
1124221718,70551,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,36,94%
1124221718,70553,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,23,96%
1124221718,72141,MRI SPINAL CANAL CERVICAL W/O CONTRAST MATRL,no,10/1/2022,12/31/9999,6,67%
1124221718,95700,EEG CONT REC W/VIDEO BY TECH MIN 8 CHANNELS,yes,10/1/2022,12/31/9999,14,100%
1124221718,95720,EEG PHYS/QHP EA INCR>12HR<26HR AFTER 24HR W/VEEG,yes,10/1/2022,12/31/9999,15,100%
1124221718,J0585,BOTULINUM TOXIN TYPE A PER UNIT,no,10/1/2022,12/31/9999,5,80%
1124226899,95806,SLEEP STD AIRFLOW HRT RATE&O2 SAT EFFORT UNATT,no,10/1/2022,12/31/9999,9,78%
1124280508,K0003,LIGHTWEIGHT WHEELCHAIR,yes,10/1/2022,12/31/9999,5,100%
1124280508,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),yes,10/1/2022,12/31/9999,7,100%
1124285697,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,5,80%
1124391198,70553,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,17,94%
1124391198,72156,MRI SPINAL CANAL CERVICAL W/O & W/CONTR MATRL,no,10/1/2022,12/31/9999,5,80%
1124391198,72158,MRI SPINAL CANAL LUMBAR W/O & W/CONTR MATRL,yes,10/1/2022,12/31/9999,6,100%
1124413646,73221,MRI ANY JT UPPER EXTREMITY W/O CONTRAST MATRL,yes,10/1/2022,12/31/9999,5,100%
1134288921,95806,SLEEP STD AIRFLOW HRT RATE&O2 SAT EFFORT UNATT,no,10/1/2022,12/31/9999,7,86%
1134288921,95810,POLYSOM 6/>YRS SLEEP 4/> ADDL PARAM ATTND,no,10/1/2022,12/31/9999,38,82%
1134288921,95811,POLYSOM 6/>YRS SLEEP W/CPAP 4/> ADDL PARAM ATTND,no,10/1/2022,12/31/9999,12,67%
1134320245,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,yes,10/1/2022,12/31/9999,11,100%
1134320245,93228,XTRNL MOBILE CV TELEMETRY W/I&REPORT 30 DAYS,yes,10/1/2022,12/31/9999,7,100%
1134320245,93229,XTRNL MOBILE CV TELEMETRY W/TECHNICAL SUPPORT,yes,10/1/2022,12/31/9999,7,100%
1134323892,J9035,INJECTION BEVACIZUMAB 10 MG,no,10/1/2022,12/31/9999,16,81%
1134396955,J3490,UNCLASSIFIED DRUGS,yes,10/1/2022,12/31/9999,7,100%
1134419955,77300,BASIC RADIATION DOSIMETRY CALCULATION,yes,10/1/2022,12/31/9999,5,100%
1134419955,77334,TX DEVICES DESIGN & CONSTRUCTION COMPLEX,yes,10/1/2022,12/31/9999,5,100%
1134419955,77336,CONTINUING MEDICAL PHYSICS CONSLTJ PR WK,yes,10/1/2022,12/31/9999,5,100%
1134419955,77387,GUIDANCE FOR LOCLZJ TARGET VOL FOR RADJ TX DLVR,yes,10/1/2022,12/31/9999,5,100%
1134419955,77427,RADIATION TREATMENT MANAGEMENT 5 TREATMENTS,yes,10/1/2022,12/31/9999,5,100%
1134502594,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,5,60%
1134540024,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,10,80%
1134549801,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,5,80%
1144228578,H0018,BHVAL HEALTH; SHORT-TERM RES W/O ROOM&BOARD-DIEM,yes,10/1/2022,12/31/9999,5,100%
1144228578,H0035,MENTAL HEALTH PARTIAL HOSP TX < 24 HOURS,yes,10/1/2022,12/31/9999,9,100%
1144228578,SUBSTANCE ABUSE,RESIDENTIAL SUBSTANCE ABUSE TREATMENT FACILITY // DAY(S),yes,10/1/2022,12/31/9999,5,100%
1144263187,64493,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 1 LEVEL,yes,10/1/2022,12/31/9999,8,100%
1144263187,64494,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,yes,10/1/2022,12/31/9999,8,100%
1144378928,29881,ARTHRS KNE SURG W/MENISCECTOMY MED/LAT W/SHVG,yes,10/1/2022,12/31/9999,6,100%
1144378928,29888,ARTHRS AIDED ANT CRUCIATE LIGM RPR/AGMNTJ/RCNSTJ,yes,10/1/2022,12/31/9999,5,100%
1144387705,74176,CT ABDOMEN & PELVIS W/O CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,6,100%
1144470584,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,6,83%
1144517467,27096,INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,yes,10/1/2022,12/31/9999,11,91%
1144517467,62323,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,yes,10/1/2022,12/31/9999,10,100%
1144517467,64493,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 1 LEVEL,yes,10/1/2022,12/31/9999,12,92%
1144517467,64494,NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,yes,10/1/2022,12/31/9999,12,92%
1144517467,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,8,100%
1144727843,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,7,71%
1154363117,77427,RADIATION TREATMENT MANAGEMENT 5 TREATMENTS,yes,10/1/2022,12/31/9999,5,100%
1154768026,77049,MRI BREAST WITHOUT&WITH CONTRAST W/CAD BILATERAL,yes,10/1/2022,12/31/9999,5,100%
1164495339,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,10,70%
1164673893,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,5,60%
1164717401,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,8,63%
1164954665,81528,ONCOLOGY COLORECTAL SCREENING QUAN 10 DNA MARKRS,no,10/1/2022,12/31/9999,9,89%
1174523872,63047,LAM FACETECTOMY & FORAMOTOMY 1 SEGMENT LUMBAR,yes,10/1/2022,12/31/9999,5,100%
1174565089,78815,PET IMAGING CT ATTENUATION SKULL BASE MID-THIGH,yes,10/1/2022,12/31/9999,5,100%
1174706360,J0878,INJECTION DAPTOMYCIN 1 MG,yes,10/1/2022,12/31/9999,5,100%
1174727747,29881,ARTHRS KNE SURG W/MENISCECTOMY MED/LAT W/SHVG,yes,10/1/2022,12/31/9999,9,100%
1174727747,29882,ARTHROSCOPY KNEE W/MENISCUS RPR MEDIAL/LATERAL,yes,10/1/2022,12/31/9999,5,100%
1174727747,73221,MRI ANY JT UPPER EXTREMITY W/O CONTRAST MATRL,no,10/1/2022,12/31/9999,8,75%
1174727747,73721,MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,no,10/1/2022,12/31/9999,22,86%
1174727747,73722,MRI ANY JT LOWER EXTREM W/CONTRAST MATERIAL,no,10/1/2022,12/31/9999,6,50%
1174752372,78452,MYOCARDIAL SPECT MULTIPLE STUDIES,yes,10/1/2022,12/31/9999,6,100%
1174834295,72148,MRI SPINAL CANAL LUMBAR W/O CONTRAST MATERIAL,yes,10/1/2022,12/31/9999,6,100%
1174941835,77261,THERAPEUTIC RADIOLOGY TX PLANNING SIMPLE,yes,10/1/2022,12/31/9999,5,100%
1174941835,77280,THER RAD SIMULAJ-AIDED FIELD SETTING SIMPLE,yes,10/1/2022,12/31/9999,6,100%
1174941835,77300,BASIC RADIATION DOSIMETRY CALCULATION,yes,10/1/2022,12/31/9999,6,100%
1174941835,77334,TX DEVICES DESIGN & CONSTRUCTION COMPLEX,yes,10/1/2022,12/31/9999,6,100%
1174941835,77336,CONTINUING MEDICAL PHYSICS CONSLTJ PR WK,yes,10/1/2022,12/31/9999,5,100%
1174941835,77401,RADIATION TX DELIVERY SUPERFICIAL&/ORTHO VOLTA,yes,10/1/2022,12/31/9999,6,100%
1174941835,77427,RADIATION TREATMENT MANAGEMENT 5 TREATMENTS,yes,10/1/2022,12/31/9999,6,100%
1174941835,G6001,ULTRASONIC GUID PLACEMENT RADIATION TX FIELDS,yes,10/1/2022,12/31/9999,5,100%
1184184491,H0015,ALCOHL&/RX SRVC;INTENSV OP;CRISIS INTRVN&ACTV TX,no,10/1/2022,12/31/9999,5,80%
1184184491,H0035,MENTAL HEALTH PARTIAL HOSP TX < 24 HOURS,yes,10/1/2022,12/31/9999,7,100%
1184656282,95861,NDL EMG 2 XTR W/WO RELATED PARASPINAL AREAS,no,10/1/2022,12/31/9999,5,20%
1184810657,REHABILITATION,COMPREHENSIVE INPATIENT REHABILITATION FACILITY // DAY(S),yes,10/1/2022,12/31/9999,6,100%
1184876179,36475,ENDOVEN ABLTJ INCMPTNT VEIN XTR RF 1ST VEIN,yes,10/1/2022,12/31/9999,6,100%
1184876179,36482,ENDOVEN ABLTI THER CHEM ADHESIVE 1ST VEIN,yes,10/1/2022,12/31/9999,5,100%
1184910382,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,9,44%
1194179010,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,7,86%
1194785923,MEDICAL CARE,INPATIENT HOSPITAL // DAY(S),no,10/1/2022,12/31/9999,11,55%
1194786137,G0299,DIRECT SNS RN HOME HEALTH/HOSPICE SET EA 15 MIN,no,10/1/2022,12/31/9999,5,80%
1194795062,73721,MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,yes,10/1/2022,12/31/9999,5,100%
1205141041,95700,EEG CONT REC W/VIDEO BY TECH MIN 8 CHANNELS,yes,10/1/2022,12/31/9999,17,94%
